I;U
20,651519E-6;4,721597E+0
114,669020E-6;5,257191E+0
208,961571E-6;5,390879E+0
319,969898E-6;5,465208E+0
399,321070E-6;5,497281E+0
505,989233E-6;5,526370E+0
596,398096E-6;5,543135E+0
706,353155E-6;5,557863E+0
783,204546E-6;5,565344E+0
886,126957E-6;5,572527E+0
989,011047E-6;5,576563E+0
1,102534E-3;5,579460E+0
1,183331E-3;5,581207E+0
1,293300E-3;5,583338E+0
1,383900E-3;5,584846E+0
1,558262E-3;5,587371E+0
1,638675E-3;5,588548E+0
1,737987E-3;5,589822E+0
1,843762E-3;5,591256E+0
1,948898E-3;5,592664E+0
2,031443E-3;5,593724E+0
2,132526E-3;5,594969E+0
2,230454E-3;5,596087E+0
2,334197E-3;5,597332E+0
2,412657E-3;5,598330E+0
2,508514E-3;5,599443E+0
2,625396E-3;5,600696E+0
2,733622E-3;5,601838E+0
2,819213E-3;5,602910E+0
2,919269E-3;5,603948E+0
3,019358E-3;5,604931E+0
3,125393E-3;5,605969E+0
3,206530E-3;5,606901E+0
3,305033E-3;5,607927E+0
3,412432E-3;5,608845E+0
3,519107E-3;5,609931E+0
3,601880E-3;5,610696E+0
3,703985E-3;5,611578E+0
3,800037E-3;5,612505E+0
3,905846E-3;5,613409E+0
3,984171E-3;5,614161E+0
4,080031E-3;5,614980E+0
4,193087E-3;5,615934E+0
4,300944E-3;5,616830E+0
4,385598E-3;5,617553E+0
4,516387E-3;5,618594E+0
4,627095E-3;5,619412E+0
4,704494E-3;5,620053E+0
4,810662E-3;5,620915E+0
4,906803E-3;5,621711E+0
5,018571E-3;5,622540E+0
5,097170E-3;5,623280E+0
5,202592E-3;5,624000E+0
5,292363E-3;5,624868E+0
5,400449E-3;5,625578E+0
5,478122E-3;5,626212E+0
5,580792E-3;5,627090E+0
5,678680E-3;5,627800E+0
5,794115E-3;5,628689E+0
5,874895E-3;5,629225E+0
5,984030E-3;5,629995E+0
6,076610E-3;5,630652E+0
6,188620E-3;5,631503E+0
6,266306E-3;5,632027E+0
6,373059E-3;5,632865E+0
6,471669E-3;5,633594E+0
6,583729E-3;5,634288E+0
6,664594E-3;5,634873E+0
6,772862E-3;5,635584E+0
6,863047E-3;5,636321E+0
6,972785E-3;5,637003E+0
7,050647E-3;5,637617E+0
7,154859E-3;5,638295E+0
7,255385E-3;5,638983E+0
7,370687E-3;5,639713E+0
7,451412E-3;5,640284E+0
7,620087E-3;5,641298E+0
7,719205E-3;5,641886E+0
7,825048E-3;5,642637E+0
7,906363E-3;5,643139E+0
